n,T,gtype,ttype,md,Avg BP Explored,Total BP,BP Explored (%),Geom Run-Time (%),Add Run-Time (ms),SP Run-Time (ms),Avg #Arcs in Soln,Avg #Subpaths in Soln,Avg DDD Run-Time (ms),Avg Enum Run-Time (ms),Run-Time (%)
50,20,1,1,0,187.7,933,20.1179,3.92227,3.1,2293.5,7.6,3.9,2415.6,550.5,438.801
50,20,1,2,0,184.2,933,19.7428,3.02981,1,1790.3,7.5,4.9,1901.1,570.2,333.409
50,20,2,1,0,236,933,25.2947,10.0341,0,4957.7,13,4.6,5068.1,482,1051.47
50,20,2,2,0,246.3,933,26.3987,8.96166,0,4780.3,13,5.9,4890.7,517.3,945.428
50,20,3,1,0,198.9,933,21.3183,5.37141,0.1,3008.2,8.7,4.6,3121.7,468.5,666.318
50,20,3,2,0,208.4,933,22.3365,5.15647,0.2,3403.2,8.6,4.9,3519.1,503.8,698.511
50,40,1,1,0,219.2,1913,11.4584,1.90907,1,2449.5,7.6,4.1,2584.6,1231.2,209.925
50,40,1,2,0,219.9,1913,11.495,1.55795,1.2,2182.9,7.5,5.5,2313.5,1323.6,174.788
50,40,2,1,0,271,1913,14.1662,4.11777,0,5080.5,13,4.6,5199.8,1215.5,427.791
50,40,2,2,0,274.4,1913,14.344,3.5087,0,4556.4,13,6.7,4672.2,1303.1,358.545
50,40,3,1,0,232.7,1913,12.1641,2.57348,0,3387.1,8.7,4.4,3519.3,1160.6,303.231
50,40,3,2,0,235.1,1913,12.2896,2.27513,0.3,3065,8.7,5.1,3192.7,1250,255.416
50,60,1,1,0,262.1,2893,9.0598,1.66646,2.3,3725.8,7.6,3.8,3897,2127.9,183.138
50,60,1,2,0,249.1,2893,8.61044,1.09356,1.7,2799.3,7.5,5.2,2950.2,2300.8,128.225
50,60,2,1,0,345.2,2893,11.9323,4.26113,0.1,9574.9,13,4.1,9744.3,2195.9,443.75
50,60,2,2,0,301,2893,10.4044,2.23955,0,5354.5,13,6.4,5480.5,2345.1,233.7
50,60,3,1,0,290.3,2893,10.0346,2.53534,0.5,5958.4,8.7,3.8,6137.5,2050.4,299.332
50,60,3,2,0,268.7,2893,9.28794,1.61671,0.3,3903.2,8.7,5.1,4051.2,2199.7,184.171
50,80,1,1,0,301.7,3873,7.78983,1.51216,2.2,5200.1,7.6,3.6,5405.8,3181.6,169.908
50,80,1,2,0,287.2,3873,7.41544,1.01975,2,3995.3,7.5,5.2,4177.1,3437.9,121.501
50,80,2,1,0,401.5,3873,10.3666,3.87566,0,12982.5,13,3.7,13189.3,3282.3,401.831
50,80,2,2,0,362.3,3873,9.35451,2.24385,0,8150.4,13,6.2,8311.1,3550,234.115
50,80,3,1,0,335,3873,8.64963,2.26883,0.4,8275.9,8.7,3.8,8489.7,3067.3,276.781
50,80,3,2,0,314.1,3873,8.10999,1.51979,0.2,5686,8.7,5,5866.8,3297,177.944
50,100,1,1,0,338.7,4853,6.97919,1.40926,2.5,6665,7.6,4.1,6902.5,4327.4,159.507
50,100,1,2,0,325,4853,6.69689,0.970881,2.2,5151,7.5,5.3,5361.7,4646.8,115.385
50,100,2,1,0,452,4853,9.31383,3.63388,0,17194,13,4,17433.8,4521.4,385.584
50,100,2,2,0,408.6,4853,8.41953,2.16699,0,10817.2,13,6.5,11003.1,4848.5,226.938
50,100,3,1,0,381.4,4853,7.85906,2.16455,0.7,10923.1,8.7,4.2,11174.6,4193.5,266.474
50,100,3,2,0,363.6,4853,7.49227,1.54605,0.3,7903.1,8.7,5.4,8121,4459.4,182.11
